model,mode,template,accuracy,prompt_consistency,source
Qwen3-1.7B,thinking,direct,0.931,0.849,Qwen3-1.7B_thinking_test_few_shot_8_metrics.csv
Qwen3-1.7B,thinking,judge,0.920,0.849,Qwen3-1.7B_thinking_test_few_shot_8_metrics.csv
Qwen3-1.7B,thinking,minimal,0.891,0.849,Qwen3-1.7B_thinking_test_few_shot_8_metrics.csv
Qwen3.5-2B,non_thinking,minimal,0.618,0.307,Qwen3.5-2B_non_thinking_test_few_shot_8_metrics.csv
Qwen3-0.6B,thinking,minimal,0.607,0.316,Qwen3-0.6B_thinking_test_few_shot_8_metrics.csv
Qwen3-0.6B,thinking,direct,0.603,0.316,Qwen3-0.6B_thinking_test_few_shot_8_metrics.csv
Qwen3.5-2B,non_thinking,direct,0.538,0.307,Qwen3.5-2B_non_thinking_test_few_shot_8_metrics.csv
Qwen3.5-2B,non_thinking,judge,0.521,0.307,Qwen3.5-2B_non_thinking_test_few_shot_8_metrics.csv
Qwen3.5-2B,thinking,judge,0.512,0.528,Qwen3.5-2B_thinking_test_few_shot_8_metrics.csv
Qwen3.5-0.8B,thinking,direct,0.511,0.536,Qwen3.5-0.8B_thinking_test_few_shot_8_metrics.csv
Qwen3.5-2B,thinking,minimal,0.501,0.528,Qwen3.5-2B_thinking_test_few_shot_8_metrics.csv
Qwen3-1.7B,non_thinking,minimal,0.501,0.999,Qwen3-1.7B_non_thinking_test_few_shot_8_metrics.csv
Qwen3.5-2B,thinking,direct,0.500,0.528,Qwen3.5-2B_thinking_test_few_shot_8_metrics.csv
Qwen3-1.7B,non_thinking,judge,0.500,0.999,Qwen3-1.7B_non_thinking_test_few_shot_8_metrics.csv
Qwen3-1.7B,non_thinking,direct,0.500,0.999,Qwen3-1.7B_non_thinking_test_few_shot_8_metrics.csv
Qwen3-0.6B,non_thinking,minimal,0.500,1.000,Qwen3-0.6B_non_thinking_test_few_shot_8_metrics.csv
Qwen3-0.6B,non_thinking,judge,0.500,1.000,Qwen3-0.6B_non_thinking_test_few_shot_8_metrics.csv
Qwen3-0.6B,non_thinking,direct,0.500,1.000,Qwen3-0.6B_non_thinking_test_few_shot_8_metrics.csv
Qwen3.5-0.8B,non_thinking,judge,0.498,0.291,Qwen3.5-0.8B_non_thinking_test_few_shot_8_metrics.csv
Qwen3.5-0.8B,thinking,minimal,0.495,0.536,Qwen3.5-0.8B_thinking_test_few_shot_8_metrics.csv
Qwen3.5-0.8B,thinking,judge,0.494,0.536,Qwen3.5-0.8B_thinking_test_few_shot_8_metrics.csv
Qwen3.5-0.8B,non_thinking,direct,0.494,0.291,Qwen3.5-0.8B_non_thinking_test_few_shot_8_metrics.csv
Qwen3.5-0.8B,non_thinking,minimal,0.481,0.291,Qwen3.5-0.8B_non_thinking_test_few_shot_8_metrics.csv
Qwen3-0.6B,thinking,judge,0.459,0.316,Qwen3-0.6B_thinking_test_few_shot_8_metrics.csv
