model,mode,template,original_accuracy,swap_accuracy,order_consistency,prompt_consistency,source
Qwen3-1.7B,thinking,direct,0.952,0.949,0.929,0.849,Qwen3-1.7B_thinking_order_metrics.csv
Qwen3-1.7B,thinking,judge,0.938,0.932,0.908,0.849,Qwen3-1.7B_thinking_order_metrics.csv
Qwen3-1.7B,thinking,minimal,0.885,0.888,0.811,0.849,Qwen3-1.7B_thinking_order_metrics.csv
Qwen3-0.6B,thinking,minimal,0.819,0.802,0.747,0.381,Qwen3-0.6B_thinking_order_metrics.csv
Qwen3.5-2B,thinking,direct,0.803,0.784,0.691,0.461,Qwen3.5-2B_thinking_order_metrics.csv
Qwen3.5-2B,thinking,minimal,0.800,0.786,0.676,0.461,Qwen3.5-2B_thinking_order_metrics.csv
Qwen3.5-0.8B,thinking,direct,0.724,0.743,0.613,0.360,Qwen3.5-0.8B_thinking_order_metrics.csv
Qwen3.5-0.8B,thinking,minimal,0.692,0.674,0.566,0.360,Qwen3.5-0.8B_thinking_order_metrics.csv
Qwen3-0.6B,thinking,direct,0.709,0.711,0.556,0.381,Qwen3-0.6B_thinking_order_metrics.csv
Qwen3-1.7B,non_thinking,minimal,0.706,0.703,0.549,0.261,Qwen3-1.7B_non_thinking_order_metrics.csv
Qwen3.5-2B,thinking,judge,0.675,0.665,0.542,0.461,Qwen3.5-2B_thinking_order_metrics.csv
Qwen3-0.6B,thinking,judge,0.553,0.544,0.519,0.381,Qwen3-0.6B_thinking_order_metrics.csv
Qwen3.5-2B,non_thinking,minimal,0.684,0.676,0.516,0.418,Qwen3.5-2B_non_thinking_order_metrics.csv
Qwen3.5-0.8B,thinking,judge,0.617,0.587,0.514,0.360,Qwen3.5-0.8B_thinking_order_metrics.csv
Qwen3.5-0.8B,non_thinking,minimal,0.547,0.511,0.480,0.232,Qwen3.5-0.8B_non_thinking_order_metrics.csv
Qwen3.5-0.8B,non_thinking,judge,0.515,0.499,0.462,0.232,Qwen3.5-0.8B_non_thinking_order_metrics.csv
Qwen3.5-2B,non_thinking,direct,0.566,0.561,0.388,0.418,Qwen3.5-2B_non_thinking_order_metrics.csv
Qwen3-1.7B,non_thinking,judge,0.574,0.557,0.351,0.261,Qwen3-1.7B_non_thinking_order_metrics.csv
Qwen3.5-2B,non_thinking,judge,0.527,0.509,0.323,0.418,Qwen3.5-2B_non_thinking_order_metrics.csv
Qwen3.5-0.8B,non_thinking,direct,0.470,0.451,0.293,0.232,Qwen3.5-0.8B_non_thinking_order_metrics.csv
Qwen3-1.7B,non_thinking,direct,0.565,0.534,0.153,0.261,Qwen3-1.7B_non_thinking_order_metrics.csv
Qwen3-0.6B,non_thinking,minimal,0.494,0.499,0.061,0.964,Qwen3-0.6B_non_thinking_order_metrics.csv
Qwen3-0.6B,non_thinking,direct,0.500,0.500,0.000,0.964,Qwen3-0.6B_non_thinking_order_metrics.csv
Qwen3-0.6B,non_thinking,judge,0.500,0.500,0.000,0.964,Qwen3-0.6B_non_thinking_order_metrics.csv
